track,abs_ticks,seconds,msg_type,note,note_name,velocity
0,192,0.254,note_on,77,F5,94
0,288,0.381,note_off,77,F5,0
0,288,0.381,note_on,79,G5,94
0,384,0.508,note_off,79,G5,0
0,384,0.508,note_on,80,G#5,94
0,480,0.636,note_off,80,G#5,0
0,480,0.636,note_on,82,A#5,94
0,576,0.763,note_off,82,A#5,0
0,576,0.763,note_on,84,C6,94
0,576,0.763,note_on,60,C4,94
0,576,0.763,note_on,53,F3,94
0,2976,3.941,note_off,53,F3,0
0,2976,3.941,note_off,60,C4,0
0,2976,3.941,note_on,63,D#4,94
0,2976,3.941,note_on,61,C#4,94
0,2976,3.941,note_on,53,F3,94
0,4320,5.720,note_off,53,F3,0
0,4320,5.720,note_off,61,C#4,0
0,4320,5.720,note_off,63,D#4,0
0,4320,5.720,note_on,63,D#4,94
0,4320,5.720,note_on,53,F3,94
0,4320,5.720,note_on,65,F4,94
0,5280,6.992,note_off,84,C6,0
0,5280,6.992,note_on,77,F5,94
0,5376,7.119,note_off,77,F5,0
0,5376,7.119,note_on,79,G5,94
0,5472,7.246,note_off,79,G5,0
0,5472,7.246,note_on,80,G#5,94
0,5568,7.373,note_off,80,G#5,0
0,5568,7.373,note_on,82,A#5,94
0,5664,7.500,note_off,82,A#5,0
0,5664,7.500,note_off,65,F4,0
0,5664,7.500,note_off,53,F3,0
0,5664,7.500,note_off,63,D#4,0
0,5664,7.500,note_on,84,C6,94
0,5664,7.500,note_on,60,C4,94
0,5664,7.500,note_on,53,F3,94
0,7200,9.534,note_off,60,C4,0
0,8736,11.568,note_off,53,F3,0
0,8736,11.568,note_on,53,F3,94
0,8736,11.568,note_on,63,D#4,94
0,10272,13.602,note_off,63,D#4,0
0,10272,13.602,note_on,65,F4,94
0,11616,15.381,note_off,65,F4,0
0,11808,15.636,note_off,53,F3,0
0,11808,15.636,note_off,84,C6,0
0,11808,15.636,note_on,53,F3,94
0,11808,15.636,note_on,77,F5,94
0,11808,15.636,note_on,60,C4,94
0,12576,16.653,note_off,77,F5,0
0,12576,16.653,note_on,82,A#5,94
0,12768,16.907,note_off,82,A#5,0
0,12768,16.907,note_on,80,G#5,94
0,12960,17.161,note_off,80,G#5,0
0,12960,17.161,note_on,79,G5,94
0,13152,17.415,note_off,79,G5,0
0,13152,17.415,note_on,77,F5,94
0,13344,17.669,note_off,60,C4,0
0,13920,18.432,note_off,77,F5,0
0,13920,18.432,note_on,82,A#5,94
0,14304,18.941,note_off,82,A#5,0
0,14304,18.941,note_on,80,G#5,94
0,14496,19.195,note_off,80,G#5,0
0,14496,19.195,note_on,79,G5,94
0,14688,19.449,note_off,79,G5,0
0,14688,19.449,note_on,77,F5,94
0,14880,19.703,note_off,77,F5,0
0,14880,19.703,note_off,53,F3,0
0,14880,19.703,note_on,79,G5,94
0,14880,19.703,note_on,53,F3,94
0,14880,19.703,note_on,63,D#4,94
0,15264,20.212,note_off,79,G5,0
0,15264,20.212,note_on,80,G#5,94
0,15648,20.720,note_off,80,G#5,0
0,15648,20.720,note_on,82,A#5,94
0,16032,21.229,note_off,82,A#5,0
0,16032,21.229,note_on,80,G#5,94
0,16416,21.737,note_off,80,G#5,0
0,16416,21.737,note_off,63,D#4,0
0,16416,21.737,note_on,79,G5,94
0,16416,21.737,note_on,65,F4,94
0,16800,22.246,note_off,79,G5,0
0,16800,22.246,note_on,80,G#5,94
0,17184,22.754,note_off,80,G#5,0
0,17184,22.754,note_on,79,G5,94
0,17568,23.263,note_off,79,G5,0
0,17568,23.263,note_on,77,F5,94
0,17664,23.390,note_off,77,F5,0
0,17664,23.390,note_on,79,G5,94
0,17760,23.517,note_off,79,G5,0
0,17760,23.517,note_off,65,F4,0
0,17760,23.517,note_on,80,G#5,94
0,17856,23.644,note_off,80,G#5,0
0,17856,23.644,note_on,82,A#5,94
0,17952,23.771,note_off,82,A#5,0
0,17952,23.771,note_off,53,F3,0
0,17952,23.771,note_on,53,F3,94
0,17952,23.771,note_on,60,C4,94
0,17952,23.771,note_on,77,F5,94
0,18720,24.788,note_off,77,F5,0
0,18720,24.788,note_on,82,A#5,94
0,18912,25.042,note_off,82,A#5,0
0,18912,25.042,note_on,80,G#5,94
0,19104,25.297,note_off,80,G#5,0
0,19104,25.297,note_on,79,G5,94
0,19296,25.551,note_off,79,G5,0
0,19296,25.551,note_on,77,F5,94
0,19488,25.805,note_off,60,C4,0
0,20064,26.568,note_off,77,F5,0
0,20064,26.568,note_on,82,A#5,94
0,20448,27.076,note_off,82,A#5,0
0,20448,27.076,note_on,80,G#5,94
0,20640,27.330,note_off,80,G#5,0
0,20640,27.330,note_on,79,G5,94
0,20832,27.585,note_off,79,G5,0
0,20832,27.585,note_on,77,F5,94
0,21024,27.839,note_off,77,F5,0
0,21024,27.839,note_off,53,F3,0
0,21024,27.839,note_on,53,F3,94
0,21024,27.839,note_on,63,D#4,94
0,21024,27.839,note_on,79,G5,94
0,21408,28.347,note_off,79,G5,0
0,21408,28.347,note_on,80,G#5,94
0,21792,28.856,note_off,80,G#5,0
0,21792,28.856,note_on,82,A#5,94
0,22176,29.364,note_off,82,A#5,0
0,22176,29.364,note_on,80,G#5,94
0,22560,29.873,note_off,80,G#5,0
0,22560,29.873,note_off,63,D#4,0
0,22560,29.873,note_on,65,F4,94
0,22560,29.873,note_on,79,G5,94
0,22944,30.381,note_off,79,G5,0
0,22944,30.381,note_on,80,G#5,94
0,23328,30.890,note_off,80,G#5,0
0,23328,30.890,note_on,79,G5,94
0,23712,31.398,note_off,79,G5,0
0,23712,31.398,note_on,77,F5,94
0,23808,31.525,note_off,77,F5,0
0,23808,31.525,note_on,79,G5,94
0,23904,31.653,note_off,79,G5,0
0,23904,31.653,note_off,65,F4,0
0,23904,31.653,note_on,80,G#5,94
0,24000,31.780,note_off,80,G#5,0
0,24000,31.780,note_on,82,A#5,94
0,24096,31.907,note_off,82,A#5,0
0,24096,31.907,note_off,53,F3,0
0,24096,31.907,note_on,84,C6,94
0,24096,31.907,note_on,53,F3,94
0,24096,31.907,note_on,60,C4,94
0,24192,32.034,note_off,84,C6,0
0,24288,32.161,note_on,77,F5,94
0,24480,32.415,note_off,77,F5,0
0,24480,32.415,note_on,77,F5,94
0,24672,32.669,note_off,77,F5,0
0,24672,32.669,note_on,79,G5,94
0,24864,32.924,note_off,79,G5,0
0,24864,32.924,note_on,79,G5,94
0,25056,33.178,note_off,79,G5,0
0,25056,33.178,note_on,80,G#5,94
